Row ID,Order Priority,Discount offered,Unit Price,Freight Expenses,Customer ID,Name of customer,Freight Mode,Segment,Product Type,Product Sub-Category,Product Container,Product Base Margin,State,City,Region,Country,ZIP Code,Order Date,Ship Date,Profit,Quantity ordered new,Sales,Target,Order ID
20847,High,0.01,2.84,0.93,3,Mynte,Express Air,Hotels / Hospitals,Processed Meat,Foie Gras,Wrap Bag,0.54,Washington,Anacortes,West,USA,98221,07-07-2010,07-08-2010,4.56,4,13.01,,88522
23086,High,0.03,6.68,6.15,3,Mynte,Express Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,0.37,Washington,Anacortes,West,USA,98221,7/27/2011,7/28/2011,-47.64,7,49.92,,88523
23087,High,0.01,5.68,3.6,3,Mynte,Regular Air,Hotels / Hospitals,Processed Meat,Pacific Squid,Small Pack,0.56,Washington,Anacortes,West,USA,98221,7/27/2011,7/28/2011,-30.51,7,41.64,55,88523
23088,Not Specified,0.0001,205.99,2.5,3,Mynte,Express Air,Hotels / Hospitals,Canned Foods,Quail Eggs,Small Box,0.59,Washington,Anacortes,West,USA,98221,7/27/2011,7/27/2011,998.2023,8,1446.67,1800,88523
23597,High,0.09,55.48,14.3,3,Mynte,Express Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,0.37,Washington,Anacortes,West,USA,98221,11-09-2011,11-11-2011,1388.0523,37,2011.67,,88524
25549,Low,0.08,120.97,26.3,3,Mynte,Delivery Truck,Hotels / Hospitals,Canned Foods,Compote,Jumbo Drum,0.38,Washington,Anacortes,West,USA,98221,07-01-2013,07-08-2013,1001.4453,12,1451.37,800,88526
24782,High,0.01,90.24,0.99,6,Devpulse,Regular Air,Restaurant Chain,Processed Meat,Jelly Fish,Small Box,0.56,California,San Jose,West,USA,95123,5/26/2011,5/26/2011,1045.4673,16,1515.17,200,90194
24563,High,0.07,6.48,6.6,6,Devpulse,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,0.37,California,San Jose,West,USA,95123,12/29/2012,12/31/2012,-13.86,4,28.61,,90200
24564,High,0.01,4.84,0.71,6,Devpulse,Regular Air,Restaurant Chain,Processed Meat,Foie Gras,Wrap Bag,0.52,California,San Jose,West,USA,95123,12/29/2012,12/31/2012,57.5805,17,83.45,,90200
24565,Critical,0.1,85.99,0.99,6,Devpulse,Regular Air,Restaurant Chain,Canned Foods,Quail Eggs,Wrap Bag,0.55,California,San Jose,West,USA,95123,12/29/2012,12/31/2012,1176.5052,24,1705.08,1800,90200
19359,High,0.05,5.85,2.27,17,Wordify,Regular Air,Stand Alone Restaurants,Processed Meat,Foie Gras,Wrap Bag,0.56,Montana,Great Falls,West,USA,59405,4/20/2011,4/24/2011,-6.82,2,12.18,,90033
20459,High,0.05,7.77,9.23,17,Wordify,Express Air,Stand Alone Restaurants,Processed Meat,Jelly Fish,Small Box,0.58,Montana,Great Falls,West,USA,59405,04-06-2012,04-08-2012,-96.33,4,34.75,200,90034
23890,High,0.05,26.48,6.93,18,Chatterbridge,Regular Air,Stand Alone Restaurants,Preserved Food,Marmalade,Small Box,0.49,Montana,Helena,West,USA,59601,5/15/2010,5/16/2010,314.4813,17,455.77,1000,90031
21763,High,0.08,42.98,4.62,18,Chatterbridge,Express Air,Stand Alone Restaurants,Processed Meat,Jelly Fish,Small Box,0.56,Montana,Helena,West,USA,59601,5/15/2012,5/16/2012,446.0781,15,646.49,200,90035
21764,High,0.07,8.04,8.94,18,Chatterbridge,Express Air,Stand Alone Restaurants,Processed Meat,Bacon,Small Box,0.4,Montana,Helena,West,USA,59601,5/15/2012,5/15/2012,-117.1045,9,75.85,80,90035
24062,High,0.08,5,3.39,18,Chatterbridge,Regular Air,Stand Alone Restaurants,Processed Meat,Tuna,Wrap Bag,0.37,Montana,Helena,West,USA,59601,5/21/2013,5/22/2013,-17.49,13,65.69,100,90038
20578,Low,0.02,110.98,30,18,Chatterbridge,Delivery Truck,Stand Alone Restaurants,Preserved Food,Sundried Tomatoes,Jumbo Drum,0.71,Montana,Helena,West,USA,59601,10-02-2013,10-04-2013,126.31,22,2575.93,1800,90039
20579,High,0.01,12.53,0.5,18,Chatterbridge,Regular Air,Stand Alone Restaurants,Processed Meat,Oysters (Clam),Small Box,0.38,Montana,Helena,West,USA,59601,10-02-2013,10-04-2013,152.7867,17,221.43,200,90039
21253,High,0.02,5.98,3.85,25,Wordpedia,Regular Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Pack,0.68,California,Lake Elsinore,West,USA,92530,4/18/2012,4/20/2012,-27.13,1,7.12,100,87657
21254,High,0.05,5.98,5.2,25,Wordpedia,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,0.36,California,Lake Elsinore,West,USA,92530,4/18/2012,4/20/2012,-10.58,1,7.81,,87657
21251,High,0.06,25.98,5.37,25,Wordpedia,Regular Air,Hotels / Hospitals,Processed Meat,Jelly Fish,Medium Box,0.5,California,Lake Elsinore,West,USA,92530,07-02-2013,07-04-2013,86.51776,7,174.54,200,87666
21252,High,0.05,155.06,7.07,25,Wordpedia,Regular Air,Hotels / Hospitals,Processed Meat,Fresh Water Eel,Small Box,0.59,California,Lake Elsinore,West,USA,92530,07-02-2013,07-04-2013,1268.4891,12,1838.39,,87666
24987,High,0.06,2.88,0.7,28,Kayveo,Regular Air,Hotels / Hospitals,Processed Meat,Foie Gras,Wrap Bag,0.56,California,Lancaster,West,USA,93534,1/22/2011,1/23/2011,-2.2072,1,3.41,,87653
24074,High,0.07,225.04,11.79,28,Kayveo,Regular Air,Hotels / Hospitals,Processed Meat,Jelly Fish,Medium Box,0.42,California,Lancaster,West,USA,93534,4/14/2013,4/16/2013,28.81,1,226.03,200,87665
18877,High,0.01,6.48,6.65,31,Thoughtbeat,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,0.36,Oregon,Eugene,West,USA,97405,08-11-2012,8/13/2012,-43.3316,15,99.56,,89206
23509,High,0.08,34.99,7.73,32,Quimm,Regular Air,Hotels / Hospitals,Processed Meat,Foie Gras,Small Box,0.59,Oregon,Grants Pass,West,USA,97526,2/22/2010,2/23/2010,144.69,13,424.68,,89199
23612,High,0.01,17.98,8.51,32,Quimm,Regular Air,Hotels / Hospitals,Canned Foods,Compote,Medium Box,0.4,Oregon,Grants Pass,West,USA,97526,3/27/2010,3/28/2010,-35.8788,2,40.17,800,89200
23278,Medium,0.09,125.99,7.69,32,Quimm,Express Air,Hotels / Hospitals,Canned Foods,Quail Eggs,Small Box,0.59,Oregon,Grants Pass,West,USA,97526,7/20/2010,7/22/2010,209.997,8,783.55,1800,89202
19355,Low,0.06,205.99,8.99,32,Quimm,Regular Air,Hotels / Hospitals,Canned Foods,Quail Eggs,Small Box,0.56,Oregon,Grants Pass,West,USA,97526,09-12-2010,9/19/2010,2568.096,22,3838.14,1800,89203
21213,High,0.08,8.95,2.01,32,Quimm,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Wrap Bag,0.39,Oregon,Grants Pass,West,USA,97526,10-06-2011,10-08-2011,85.8636,15,133.07,,89204
22221,High,0.06,449.99,49,32,Quimm,Delivery Truck,Hotels / Hospitals,Canned Foods,Wild Berry,Jumbo Drum,0.38,Oregon,Grants Pass,West,USA,97526,06-12-2013,6/14/2013,345,5,2157.25,5000,89207
18673,High,0.09,7.98,6.5,40,Janyx,Regular Air,Hotels / Hospitals,Processed Meat,Fresh Water Eel,Medium Box,0.59,Washington,Anacortes,West,USA,98221,3/21/2013,3/23/2013,-71.44,4,30.96,,88683
25397,Not Specified,0.0001,30.97,4,46,Blogpad,Regular Air,Restaurant Chain,Canned Foods,Assorted Fruits,Small Box,0.74,Virginia,Colonial Heights,South,USA,23834,9/23/2012,9/25/2012,21.624,3,94.62,,91579
25398,Not Specified,0.0001,17.67,8.99,46,Blogpad,Regular Air,Restaurant Chain,Preserved Food,Marmalade,Small Pack,0.47,Virginia,Colonial Heights,South,USA,23834,9/23/2012,9/25/2012,-78.092,20,368.39,1000,91579
18441,Critical,0.01,205.99,19.99,65,Shuffletag,Regular Air,Hotels / Hospitals,Canned Foods,Quail Eggs,Small Box,0.6,California,Mountain View,West,USA,94043,05-02-2012,05-03-2012,1312.038,13,2395.13,1800,87948
18442,High,0.09,162.93,19.99,66,Gigaclub,Regular Air,Hotels / Hospitals,Processed Meat,Caviar,Small Box,0.39,California,Murrieta,West,USA,92563,05-02-2012,05-04-2012,1451.9394,14,2104.26,,87948
21667,High,0.06,9.11,2.15,66,Gigaclub,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Wrap Bag,0.4,California,Murrieta,West,USA,92563,06-12-2013,6/13/2013,95.3787,15,138.23,,87951
23069,High,0.07,8.34,1.43,92,Blognation,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Wrap Bag,0.35,Louisiana,Terrytown,South,USA,70056,5/17/2010,5/19/2010,-190.68,16,132.08,,87175
23070,High,0.09,4.98,6.07,92,Blognation,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,0.36,Louisiana,Terrytown,South,USA,70056,5/17/2010,5/18/2010,325.398,9,45.34,,87175
23203,High,0.04,12.98,3.14,92,Blognation,Express Air,Hotels / Hospitals,Processed Meat,Pacific Squid,Small Pack,0.6,Louisiana,Terrytown,South,USA,70056,12-07-2010,12-09-2010,22.818,16,216.04,55,87178
23432,High,0.06,9.85,4.82,92,Blognation,Regular Air,Hotels / Hospitals,Processed Meat,Foie Gras,Wrap Bag,0.47,Louisiana,Terrytown,South,USA,70056,04-02-2011,04-03-2011,31.398,5,48.43,,87179
23807,High,0.08,20.99,0.99,92,Blognation,Regular Air,Hotels / Hospitals,Canned Foods,Quail Eggs,Small Pack,0.83,Louisiana,Terrytown,South,USA,70056,11/22/2013,11/23/2013,-191.576,30,503.04,1800,87185
26241,Low,0.07,2.12,1.99,115,Yodoo,Regular Air,Restaurant Chain,Canned Foods,Assorted Fruits,Small Pack,0.55,Oregon,Mcminnville,West,USA,97128,04-09-2010,04-11-2010,-55.84,12,26.07,,89585
24260,Medium,0.07,115.99,2.5,115,Yodoo,Regular Air,Restaurant Chain,Canned Foods,Quail Eggs,Small Box,0.55,Oregon,Mcminnville,West,USA,97128,1/23/2011,1/25/2011,797.157,12,1155.3,1800,89586
